社会福祉法人　北栄町社会福祉協議会,3
社会福祉法人　北海道光生舎,3
社会福祉法人　北野福祉会,3
社会福祉法人　北友会,3
社会福祉法人　本宮市社会福祉協議会,3
社会福祉法人　本郷福祉会,3
社会福祉法人　本庄市社会福祉協議会,3
社会福祉法人　本荘久寿会,3
社会福祉法人　未生会,3
社会福祉法人　妙心福祉会,3
社会福祉法人　夢の会,3
社会福祉法人　夢工房,3
社会福祉法人　名護学院,3
社会福祉法人　明秀会,3
社会福祉法人　明照園,3
社会福祉法人　明石愛老園,3
社会福祉法人　明日香村社会福祉協議会,3
社会福祉法人　弥生会,3
社会福祉法人　弥富福祉会,3
社会福祉法人　柳愛会,3
社会福祉法人　友仁会,3
社会福祉法人　悠遊,3
社会福祉法人　湧泉会,3
社会福祉法人　涌谷町社会福祉協議会,3
社会福祉法人　雄志会,3
社会福祉法人　雄心会,3
社会福祉法人　雄飛会,3
社会福祉法人　夕秀会,3
社会福祉法人　揺籃会,3
社会福祉法人　葉港会,3
社会福祉法人　葉寿会,3
社会福祉法人　養寿会,3
社会福祉法人　養福会,3
社会福祉法人　洛南福祉会,3
社会福祉法人　蘭山会,3
社会福祉法人　立命会,3
社会福祉法人　流山あけぼの会,3
社会福祉法人　竜成園,3
社会福祉法人　凌友会,3
社会福祉法人　緑の村の会,3
社会福祉法人　緑愛会,3
社会福祉法人　緑山会,3
社会福祉法人　緑成会,3
社会福祉法人　六縁会,3
社会福祉法人　六戸町社会福祉協議会,3
社会福祉法人　和寿園,3
社会福祉法人　和進奉仕会,3
社会福祉法人　和仁福祉会,3
社会福祉法人　鷲山会,3
社会福祉法人　怡土福祉会,3
社会福祉法人　榮寿苑福祉会,3
社会福祉法人　翔栄会,3
社会福祉法人　觀寿々会,3
社会福祉法人　蹊仁会,3
社会福祉法人　頌徳福祉会,3
社会福祉法人　黎明菫会,3
社会福祉法人　晴智会,3
社会福祉法人　神河町社会福祉協議会,3
社会福祉法人　神戸中央福祉会,3
社会福祉法人　神戸日の出会,3
社会福祉法人　神戸婦人同情会,3
社会福祉法人　神樹会,3
社会福祉法人　神聖会,3
社会福祉法人　祥永会,3
社会福祉法人　祥穂会,3
社会福祉法人　福岡光明会,3
社会福祉法人　福岡市民生事業連盟,3
社会福祉法人　福翠会,3
社会福祉法人　福泉会,3
社会福祉法人　福知山シルバー,3
社会福祉法人　福島市社会福祉協議会,3
社会福祉法人　福都二十一,3
社会福祉法人　隆生福祉会,3
社会福祉法人　隆徳会,3
社会福祉法人　飯山市社会福祉協議会,3
社会福祉法人　飯塚市社会福祉協議会,3
社会福祉法人　鶴田町社会福祉協議会,3
社会福祉法人　京田辺市社会福祉協議会,3
社会福祉法人　京悠会,3
社会福祉法人　京都山城福祉会,3
社会福祉法人あいあい福祉会,3
社会福祉法人あいの実,3
社会福祉法人あいの樹,3
社会福祉法人アイリス,3
社会福祉法人アイリス学園,3
社会福祉法人アイリス福祉会,3
社会福祉法人あおい福祉会,3
社会福祉法人あおぞら福祉会,3
社会福祉法人あおば福祉会,3
社会福祉法人あさぎり町社会福祉協議会,3
社会福祉法人あしたば会,3
社会福祉法人あたご共生福祉会,3
社会福祉法人あづま会,3
社会福祉法人あやうた福祉会,3
社会福祉法人いいでめざみの里福祉会,3
社会福祉法人いちえ福祉会,3
社会福祉法人いのかわ会,3
社会福祉法人いわうみ会,3
社会福祉法人いわき市社会福祉協議会,3
社会福祉法人いわき福祉会,3
社会福祉法人ウエルケア,3
社会福祉法人ヴェルファーデン,3
社会福祉法人うちうみ会,3
社会福祉法人エコライフまどか,3
社会福祉法人エスポワールわが家,3
社会福祉法人エマオ会,3
社会福祉法人えりも町社会福祉協議会,3
社会福祉法人えりも福祉会,3
社会福祉法人おおの福祉会,3
社会福祉法人おきなわ長寿会,3
社会福祉法人オレンジの会,3
社会福祉法人かがやき,3
社会福祉法人かしま福祉会,3
社会福祉法人かつらぎ町社会福祉協議会,3
社会福祉法人かむろ,3
社会福祉法人カリヨン,3
社会福祉法人きらめき福祉会,3
社会福祉法人きらら美桜紅葉舎,3
社会福祉法人キングス・ガーデン新潟,3
社会福祉法人ぐくる,3
社会福祉法人くまもと芳寿会,3
社会福祉法人グリーンウッド,3
社会福祉法人グレイスまいづる,3
社会福祉法人こうのとり福祉会,3
社会福祉法人こすもす,3
社会福祉法人さくら,3
社会福祉法人さくら瑞穂会,3
社会福祉法人サザンクロス,3
社会福祉法人さぬき市社会福祉協議会,3
社会福祉法人サミック,3
社会福祉法人サロマ福祉会,3
社会福祉法人サンフェニックス,3
社会福祉法人サンホーム,3
社会福祉法人しあわせの郷,3
社会福祉法人しあわせ福祉会,3
社会福祉法人ジェイエイいずも福祉会,3
社会福祉法人しおかぜ,3
社会福祉法人しただ,3
社会福祉法人しまなみ福祉会,3
社会福祉法人しらゆり園,3
社会福祉法人すずらん会,3
社会福祉法人せいわ福祉会,3
社会福祉法人せせらぎ会,3
社会福祉法人セントラル,3
社会福祉法人そうそうの杜,3
社会福祉法人そうび会,3
社会福祉法人たくみ会,3
社会福祉法人たけのうち福祉会,3
社会福祉法人だんのさと,3
社会福祉法人ちちぶ慈洋福祉会,3
社会福祉法人ちどり会,3
社会福祉法人つくば市社会福祉協議会,3
社会福祉法人つちや社会福祉会,3
社会福祉法人つつみ会,3
社会福祉法人つわの福祉会,3
社会福祉法人とりかい,3
社会福祉法人トーリケアネット,3
社会福祉法人ながよ光彩会,3
社会福祉法人なごみの会,3
社会福祉法人なりた福祉会,3
社会福祉法人なる共生会,3
社会福祉法人にいがた美咲福祉会,3
社会福祉法人にかほ市社会福祉協議会,3
社会福祉法人にちはら福祉会,3
社会福祉法人ネットファミリー,3
社会福祉法人のしろ汐風会,3
社会福祉法人のぞみ福祉会,3
社会福祉法人はくさん,3
社会福祉法人はぜの実会,3
社会福祉法人ばなな会,3
社会福祉法人パーソナル・アシスタンスとも,3
社会福祉法人ひたちなか市社会福祉協議会,3
社会福祉法人ひたちの森会,3
社会福祉法人ひとまる会,3
社会福祉法人ひなたぼっこ,3
社会福祉法人ひのき会,3
社会福祉法人ひびきの杜,3
社会福祉法人ひびき会,3
社会福祉法人ひまわりの里,3
社会福祉法人ひらか福祉会,3
社会福祉法人ふきのとう,3
社会福祉法人フジ福祉会,3
社会福祉法人べつかい柏の実会,3
社会福祉法人ほがらか会,3
社会福祉法人ほのぼの福祉会,3
社会福祉法人ポプラの杜,3
社会福祉法人マイクロ福祉会,3
社会福祉法人まきむら福祉会,3
社会福祉法人まこと,3
社会福祉法人ましき苑,3
社会福祉法人まほろばの郷,3
社会福祉法人みその,3
社会福祉法人みどり共生会,3
社会福祉法人みなみ,3
社会福祉法人みろく会,3
社会福祉法人みんなでいきる,3
社会福祉法人みんなのお世話,3
社会福祉法人みんなの家会,3
社会福祉法人めじろ会,3
社会福祉法人メープル,3
社会福祉法人もてぎ協栄会,3
社会福祉法人ももぞの学園,3
社会福祉法人やくも福祉会,3
社会福祉法人ヤマト福祉会,3
社会福祉法人ゆうゆう,3
社会福祉法人ゆずの木,3
社会福祉法人ゆず福祉会,3
社会福祉法人ゆたか福祉会,3
社会福祉法人ゆり,3
社会福祉法人ゆりえ会,3
社会福祉法人ユートピアにしかた,3
社会福祉法人よつ葉の会,3
社会福祉法人ラ・クール,3
社会福祉法人ラヴィータ,3
社会福祉法人ル・プリ,3
社会福祉法人ルロワ,3
社会福祉法人レモングラス,3
社会福祉法人レーヴ福岡,3
社会福祉法人レーベンダンク,3
社会福祉法人わかうら会,3
社会福祉法人わかやま虹の会,3
社会福祉法人わたらせ会,3
社会福祉法人阿賀北総合福祉協会,3
社会福祉法人阿久根市社会福祉協議会,3
社会福祉法人阿南市社会福祉協議会,3
社会福祉法人愛護会,3
社会福祉法人愛孝福祉会,3
社会福祉法人愛伸会,3
社会福祉法人愛心福祉会,3
社会福祉法人愛荘町社会福祉協議会,3
社会福祉法人愛知玉葉会,3
社会福祉法人愛媛県視覚障害者福祉会,3
社会福祉法人旭川やすらぎ会,3
社会福祉法人旭川緑光会,3
社会福祉法人旭豊福祉会,3
社会福祉法人旭壽会,3
社会福祉法人粟国福祉会,3
社会福祉法人安岐の郷,3
社会福祉法人安中市社会福祉協議会,3
社会福祉法人伊仙町社会福祉協議会,3
社会福祉法人伊奈町社会福祉協議会,3
社会福祉法人伊方町社会福祉協議会,3
社会福祉法人遺徳会,3
社会福祉法人郁栄会,3
社会福祉法人郁青会,3
社会福祉法人一会,3
社会福祉法人一関秀和会,3
社会福祉法人一隅苑,3
社会福祉法人一眞会,3
社会福祉法人稲美町社会福祉協議会,3
社会福祉法人宇医会,3
社会福祉法人浦幌町社会福祉協議会,3
社会福祉法人栄興会,3
社会福祉法人栄村社会福祉協議会,3
社会福祉法人永平寺町社会福祉協議会,3
社会福祉法人永芳会,3
社会福祉法人英愛会,3
社会福祉法人英寿会,3
社会福祉法人駅水,3
社会福祉法人悦生会,3
社会福祉法人延岡市社会福祉協議会,3
社会福祉法人縁むすび福祉会,3
社会福祉法人奥尻福祉会,3
社会福祉法人奥多摩町社会福祉協議会,3
社会福祉法人奥津広済会,3
社会福祉法人横手福祉会,3
社会福祉法人横須賀基督教社会館,3
社会福祉法人横浜向陽会,3
社会福祉法人横浜市社会事業協会,3
社会福祉法人横浜社会福祉協会（横浜市指定管理者）,3
社会福祉法人王滝村社会福祉協議会,3
社会福祉法人翁寿会,3
社会福祉法人恩賜財団済生会支部　神奈川県済生会,3
社会福祉法人恩賜財団済生会支部岩手県済生会,3
社会福祉法人恩賜財団済生会支部新潟県済生会,3
社会福祉法人恩賜財団済生会支部東京都済生会,3
社会福祉法人恩賜財団済生会支部福岡県済生会,3
社会福祉法人温故知新会,3
社会福祉法人温光会,3
社会福祉法人温知福祉会,3
社会福祉法人音更町柏寿協会,3
社会福祉法人下仁田町社会福祉協議会,3
社会福祉法人下川町社会福祉協議会,3
社会福祉法人下総会,3
社会福祉法人下北山村社会福祉協議会,3
社会福祉法人佳翔会,3
社会福祉法人加東市社会福祉協議会,3
社会福祉法人家島福祉会,3
社会福祉法人河辺ふくし会,3
社会福祉法人河北町社会福祉協議会,3
社会福祉法人花園福祉会,3
社会福祉法人海菊会,3
社会福祉法人開田福祉会,3
社会福祉法人階上町社会福祉協議会,3
社会福祉法人楽山会,3
社会福祉法人楽水会,3
社会福祉法人葛城市社会福祉協議会,3
社会福祉法人茅野市社会福祉協議会,3
社会福祉法人刈谷市社会福祉協議会,3
社会福祉法人肝付町社会福祉協議会,3
社会福祉法人観寿々会,3
社会福祉法人岩見沢福祉会,3
社会福祉法人岩国市社会福祉協議会,3
社会福祉法人岩沼市社会福祉協議会,3
社会福祉法人岩美町社会福祉協議会,3
社会福祉法人喜望会,3
社会福祉法人希桜会,3
社会福祉法人希望ヶ丘福祉会,3
社会福祉法人幾久栄会,3
社会福祉法人紀友会,3
社会福祉法人貴愛会,3
社会福祉法人貴洋会,3
社会福祉法人貴陽福祉会,3
社会福祉法人鬼北町社会福祉協議会,3
社会福祉法人亀甲会,3
社会福祉法人亀保の里,3
社会福祉法人義乃会,3
社会福祉法人吉見町社会福祉協議会,3
社会福祉法人吉川市社会福祉協議会,3
社会福祉法人吉川福祉会,3
社会福祉法人橘福祉会,3
社会福祉法人久御山町社会福祉協議会,3
社会福祉法人久住会,3
社会福祉法人久留米市社会福祉協議会,3
社会福祉法人宮崎市社会福祉協議会,3
社会福祉法人宮津市社会福祉協議会,3
社会福祉法人宮田村社会福祉協議会,3
社会福祉法人宮田福祉会,3
社会福祉法人魚野福祉会,3
社会福祉法人共生,3
社会福祉法人共和町社会福祉協議会,3
社会福祉法人共和福祉会,3
社会福祉法人興徳会,3
社会福祉法人鏡野町社会福祉協議会,3
社会福祉法人暁興会,3
社会福祉法人局会,3
社会福祉法人玉山秀峰会,3
社会福祉法人玉樹会,3
社会福祉法人玉城町社会福祉協議会,3
社会福祉法人玉川村社会福祉協議会,3
社会福祉法人錦心会,3
社会福祉法人欣水会,3
社会福祉法人金山町社会福祉協議会,3
社会福祉法人金木犀会,3
社会福祉法人九度山町社会福祉協議会,3
社会福祉法人串本町社会福祉協議会,3
社会福祉法人釧路町富喜会,3
社会福祉法人熊本厚生会,3
社会福祉法人栗屋福祉会,3
社会福祉法人栗山会,3
社会福祉法人桑名市社会福祉協議会,3
社会福祉法人君津市社会福祉協議会,3
社会福祉法人薫英会,3
社会福祉法人訓子府町社会福祉協議会,3
社会福祉法人啓喜会,3
社会福祉法人啓誠福祉会,3
社会福祉法人恵春会,3
社会福祉法人恵泉福祉会,3
社会福祉法人恵庭市社会福祉協議会,3
社会福祉法人恵寧会,3
社会福祉法人慶秀会,3
社会福祉法人慶千会,3
社会福祉法人慶睦会,3
社会福祉法人憩いの汀,3
社会福祉法人敬愛園,3
社会福祉法人敬愛福祉会,3
社会福祉法人敬英福祉会,3
社会福祉法人敬心会,3
社会福祉法人敬生会,3
社会福祉法人敬老会,3
社会福祉法人敬老福祉会,3
社会福祉法人桂和会,3
社会福祉法人渓州会,3
社会福祉法人渓流会,3
社会福祉法人健康会,3
社会福祉法人健恒会,3
社会福祉法人健悠会,3
社会福祉法人健悠福祉会,3
社会福祉法人剣渕北斗会,3
社会福祉法人憲幸会,3
社会福祉法人研水会,3
社会福祉法人絹乃会,3
社会福祉法人原村社会福祉協議会,3
社会福祉法人古賀市社会福祉協議会,3
社会福祉法人戸川会,3
社会福祉法人五戸町社会福祉協議会,3
社会福祉法人五泉市社会福祉協議会,3
社会福祉法人五島和光会,3
社会福祉法人互恵会,3
社会福祉法人御前崎厚生会,3
社会福祉法人交楽会,3
社会福祉法人光,3
社会福祉法人光彩会,3
社会福祉法人光市社会福祉協議会,3
社会福祉法人光進会,3
社会福祉法人光輪福祉会,3
社会福祉法人光和苑,3
社会福祉法人公心会,3
社会福祉法人公風会,3
社会福祉法人公和会,3
社会福祉法人厚沢部町社会福祉協議会,3
社会福祉法人向日市社会福祉協議会,3
社会福祉法人宏隆会,3
社会福祉法人幸楽会,3
社会福祉法人幸光福祉会,3
社会福祉法人幸輪福祉会,3
社会福祉法人広川町社会福祉協議会,3
社会福祉法人広虫荘,3
社会福祉法人広島県府中市社会福祉協議会,3
社会福祉法人広島良城会,3
社会福祉法人広尾町社会福祉協議会,3
社会福祉法人広緑会,3
社会福祉法人康済会,3
社会福祉法人康明会,3
社会福祉法人弘優尽会,3
社会福祉法人恒勝会,3
社会福祉法人恒心福祉会,3
社会福祉法人晃寿会,3
社会福祉法人晃樹会,3
社会福祉法人更葉園,3
社会福祉法人江北町社会福祉協議会,3
社会福祉法人甲山福祉センター,3
社会福祉法人甲奴福祉会,3
社会福祉法人皇寿会,3
社会福祉法人荒尾市社会福祉協議会,3
社会福祉法人行雲,3
社会福祉法人行方市社会福祉協議会,3
社会福祉法人香取市社会福祉協議会,3
社会福祉法人高越会,3
社会福祉法人高岡市社会福祉協議会,3
社会福祉法人高山村社会福祉協議会,3
社会福祉法人高山八寿会,3
社会福祉法人高萩市社会福祉協議会,3
社会福祉法人高浜市社会福祉協議会,3
社会福祉法人国府会,3
社会福祉法人黒滝村社会福祉協議会,3
社会福祉法人黒木福祉会,3
社会福祉法人今山会,3
社会福祉法人根室隣保院,3
社会福祉法人佐久市社会福祉協議会,3
社会福祉法人佐川町社会福祉協議会,3
社会福祉法人佐渡前浜福祉会,3
社会福祉法人佐土原福祉会,3
社会福祉法人佐々町社会福祉協議会,3
社会福祉法人妻有福祉会,3
社会福祉法人済昭園,3
社会福祉法人斎宮会,3
社会福祉法人在心会,3
社会福祉法人在友会,3
社会福祉法人坂祝町社会福祉協議会,3
社会福祉法人坂出市社会福祉協議会,3
社会福祉法人阪神福祉事業団,3
社会福祉法人埼玉現成会,3
社会福祉法人桜コミュニティ,3
社会福祉法人桜岳会,3
社会福祉法人桜仁会,3
社会福祉法人桜水会,3
社会福祉法人桜谷福祉会,3
社会福祉法人札幌光陽会,3
社会福祉法人三ケ山学園,3
社会福祉法人三愛,3
社会福祉法人三育福祉会,3
社会福祉法人三磯会,3
社会福祉法人三活会,3
社会福祉法人三起,3
社会福祉法人三共会,3
社会福祉法人三交会,3
社会福祉法人三種町社会福祉協議会,3
社会福祉法人三重ワイエムシイエイ福祉会,3
社会福祉法人三条嵐南老人福祉会,3
社会福祉法人三星会,3
社会福祉法人三田福祉会,3
社会福祉法人三峰福祉会,3
社会福祉法人三名福祉会,3
社会福祉法人山ノ内町社会福祉協議会,3
社会福祉法人山陰家庭学院,3
社会福祉法人山形市社会福祉事業団,3
社会福祉法人山形村社会福祉協議会,3
社会福祉法人山桜会,3
社会福祉法人山手の里,3
社会福祉法人山陽福祉会,3
社会福祉法人四葉晃耀会,3
社会福祉法人市川町社会福祉協議会,3
社会福祉法人志豊会,3
社会福祉法人志友会,3
社会福祉法人紫雲寺加治川福祉会,3
社会福祉法人紫波町社会福祉協議会,3
社会福祉法人至誠会福祉会,3
社会福祉法人至福会,3
社会福祉法人慈久福祉会,3
社会福祉法人慈光学園,3
社会福祉法人慈童会,3
社会福祉法人慈友会,3
社会福祉法人慈陽会,3
社会福祉法人慈福会,3
社会福祉法人治恵会,3
社会福祉法人鹿角市社会福祉協議会,3
社会福祉法人鹿追町社会福祉協議会,3
社会福祉法人宍粟市社会福祉協議会,3
社会福祉法人七戸町社会福祉協議会,3
社会福祉法人七葉会,3
社会福祉法人室蘭福祉事業協会,3
社会福祉法人漆原清和会,3
社会福祉法人実践,3
社会福祉法人斜里福祉会,3
社会福祉法人若宮福祉会,3
社会福祉法人若狭会,3
社会福祉法人若杉会,3
社会福祉法人若草福祉会,3
社会福祉法人若美さくら会,3
社会福祉法人若穂会,3
社会福祉法人取手市社会福祉事業団,3
社会福祉法人守人会,3
社会福祉法人手取会,3
社会福祉法人朱鳥会,3
社会福祉法人珠洲市社会福祉協議会,3
社会福祉法人寿松会,3
社会福祉法人寿心会,3
社会福祉法人寿星会,3
社会福祉法人寿量会,3
社会福祉法人秀愛会,3
社会福祉法人秀楽会,3
社会福祉法人秀明会,3
社会福祉法人秀麗会,3
社会福祉法人秋田県社会福祉事業団,3
社会福祉法人十和田湖会,3
社会福祉法人春光園,3
社会福祉法人春幸会,3
社会福祉法人春日井市社会福祉協議会,3
社会福祉法人淳涌界,3
社会福祉法人潤耀会,3
社会福祉法人潤和会,3
社会福祉法人純心福祉会,3
社会福祉法人順和会,3
社会福祉法人初山別村社会福祉協議会,3
社会福祉法人勝縁福祉会,3
社会福祉法人小国町社会福祉協議会,3
社会福祉法人小国福祉会,3
社会福祉法人小山市社会福祉協議会,3
社会福祉法人小谷村社会福祉協議会,3
社会福祉法人小樽市社会福祉協議会,3
社会福祉法人小美玉市社会福祉協議会,3
社会福祉法人小浜会,3
社会福祉法人小矢部市社会福祉協議会,3
社会福祉法人尚徳福祉会,3
社会福祉法人庄内町社会福祉協議会,3
社会福祉法人庄内福祉会,3
社会福祉法人昇陽会,3
社会福祉法人昭仁会,3
社会福祉法人昭仁会双苑,3
社会福祉法人昭和福祉会,3
社会福祉法人松大会,3
社会福祉法人松徳会,3
社会福祉法人松柏会,3
社会福祉法人松楓会,3
社会福祉法人松伏町社会福祉協議会,3
社会福祉法人松宝苑,3
社会福祉法人沼田市社会福祉協議会,3
社会福祉法人沼田町社会福祉協議会,3
社会福祉法人沼風会,3
社会福祉法人湘南望青会,3
社会福祉法人鐘の鳴る丘愛誠会,3
社会福祉法人上磯はまなす,3
社会福祉法人上智社会事業団,3
社会福祉法人上富良野町社会福祉協議会,3
社会福祉法人上毛愛隣社,3
社会福祉法人上里町社会福祉協議会,3
社会福祉法人常心福祉会,3
社会福祉法人常磐福祉会,3
社会福祉法人常茂恵会,3
社会福祉法人常陸太田市社会福祉協議会,3
社会福祉法人植竹会,3
社会福祉法人信義福祉会,3
社会福祉法人信隆会,3
社会福祉法人新ひだか町社会福祉協議会,3
社会福祉法人新座市社会福祉協議会,3
社会福祉法人新庄かつろく会,3
社会福祉法人新地町社会福祉協議会,3
社会福祉法人新南陽福祉の会,3
社会福祉法人森の宮福祉会,3
社会福祉法人森町社会福祉協議会,3
社会福祉法人真わ会,3
社会福祉法人真愛,3
社会福祉法人真心幸泉会,3
社会福祉法人親の家,3
社会福祉法人親孝会,3
社会福祉法人人輪会,3
社会福祉法人仁多福祉会,3
社会福祉法人仁尾福祉会,3
社会福祉法人仁木町社会福祉協議会,3
社会福祉法人壬生町社会福祉協議会,3
社会福祉法人吹田みどり福祉会,3
社会福祉法人垂水市社会福祉協議会,3
社会福祉法人水の会,3
社会福祉法人水交苑,3
社会福祉法人翠明会,3
社会福祉法人瑞邦会,3
社会福祉法人崇徳会,3
社会福祉法人杉樹会,3
社会福祉法人成光会,3
社会福祉法人正松会,3
社会福祉法人清英会,3
社会福祉法人清河会,3
社会福祉法人清郷会,3
社会福祉法人清香園,3
社会福祉法人清山会,3
社会福祉法人清勝会,3
社会福祉法人清昭会,3
社会福祉法人清色福祉会,3
社会福祉法人清真会,3
社会福祉法人清水の会,3
社会福祉法人清正会,3
社会福祉法人清津福祉会,3
社会福祉法人清悠会,3
社会福祉法人清遊の家,3
社会福祉法人清里,3
社会福祉法人清和福祉会,3
社会福祉法人生き活き館,3
社会福祉法人聖フランシスコ会,3
社会福祉法人聖嬰会,3
社会福祉法人聖母の騎士会,3
社会福祉法人聖朋会,3
社会福祉法人聖明福祉協会,3
社会福祉法人聖籠福祉会,3
社会福祉法人西ノ島町社会福祉協議会,3
社会福祉法人西桂町社会福祉協議会,3
社会福祉法人西原村社会福祉協議会,3
社会福祉法人西新井だいわ会,3
社会福祉法人西白河ライフケア会,3
社会福祉法人西尾市社会福祉協議会,3
社会福祉法人西和賀町社会福祉協議会,3
社会福祉法人西益田福祉会,3
社会福祉法人青雲会,3
社会福祉法人青彩会,3
社会福祉法人青森市社会福祉協議会,3
社会福祉法人青大悲福祉協会,3
社会福祉法人青燈会,3
社会福祉法人青芳会,3
社会福祉法人青嵐会,3
社会福祉法人静友会,3
社会福祉法人石下福祉会,3
社会福祉法人石狩市社会福祉協議会,3
社会福祉法人石川整肢学園,3
社会福祉法人石川町社会福祉協議会,3
社会福祉法人赤磐市社会福祉協議会,3
社会福祉法人赤磐中央福祉会,3
社会福祉法人設楽町社会福祉協議会,3
社会福祉法人仙台ビーナス会,3
社会福祉法人仙台市社会福祉協議会,3
社会福祉法人千授福祉会,3
社会福祉法人川井心生会,3
社会福祉法人川口市社会福祉協議会,3
社会福祉法人川西福祉会,3
社会福祉法人川辺町社会福祉協議会,3
社会福祉法人泉茅会,3
社会福祉法人泉佐野たんぽぽの会,3
社会福祉法人浅原桃花会,3
社会福祉法人浅口市社会福祉協議会,3
社会福祉法人善俊会,3
社会福祉法人善通寺福祉会,3
社会福祉法人祖父江愛照会,3
社会福祉法人素心の会,3
社会福祉法人創隣会,3
社会福祉法人双恵会,3
社会福祉法人双樹苑,3
社会福祉法人双星会,3
社会福祉法人匝瑳市社会福祉協議会,3
社会福祉法人草加会,3
社会福祉法人村山市社会福祉協議会,3
社会福祉法人多聞福祉会,3
社会福祉法人多摩養育園,3
社会福祉法人太陽の風,3
社会福祉法人帯広市社会福祉協議会,3
社会福祉法人大玉村社会福祉協議会,3
社会福祉法人大胡至聖会,3
社会福祉法人大阪愛心会,3
社会福祉法人大阪光風会,3
社会福祉法人大阪障害者自立支援協会,3
社会福祉法人大阪聴覚障害者福祉会,3
社会福祉法人大三島育徳会,3
社会福祉法人大地,3
社会福祉法人大津町社会福祉協議会,3
社会福祉法人大豊町社会福祉協議会,3
社会福祉法人大牟田市社会福祉協議会,3
社会福祉法人大野市社会福祉協議会,3
社会福祉法人大友恵愛会,3
社会福祉法人大淀町社会福祉協議会,3
社会福祉法人大立福祉会,3
社会福祉法人大和高原育成福祉会,3
社会福祉法人大和村社会福祉協議会,3
社会福祉法人滝上福祉会,3
社会福祉法人滝川市社会福祉協議会,3
社会福祉法人琢心会,3
社会福祉法人丹穂会,3
社会福祉法人淡路市社会福祉協議会,3
社会福祉法人知夫村社会福祉協議会,3
社会福祉法人知名町社会福祉協議会,3
社会福祉法人知立市社会福祉協議会,3
社会福祉法人地域サポート虹,3
社会福祉法人地域福祉協会,3
社会福祉法人智恩福祉会,3
社会福祉法人稚内市社会福祉協議会,3
社会福祉法人致遠会,3
社会福祉法人竹井病院,3
社会福祉法人筑後市社会福祉協議会,3
社会福祉法人筑紫野市社会福祉協議会,3
社会福祉法人筑南会,3
社会福祉法人筑波記念会,3
社会福祉法人筑豊福祉会,3
社会福祉法人筑和会,3
社会福祉法人秩父別昭啓会,3
社会福祉法人秩父別町社会福祉協議会,3
社会福祉法人中川会,3
社会福祉法人中陽福祉会,3
社会福祉法人朝日町社会福祉協議会,3
社会福祉法人超寿会,3
社会福祉法人長井市社会福祉協議会,3
社会福祉法人長岡京市社会福祉協議会,3
社会福祉法人長崎愛心会,3
社会福祉法人長寿幸元会,3
社会福祉法人長沼町社会福祉協議会,3
社会福祉法人長生共楽園,3
社会福祉法人長淵福祉会,3
社会福祉法人長茂会,3
社会福祉法人長老会,3
社会福祉法人鳥取県厚生事業団,3
社会福祉法人鳥取福祉会,3
社会福祉法人津別町社会福祉協議会,3
社会福祉法人弟子屈町社会福祉協議会,3
社会福祉法人碇山会,3
社会福祉法人滴翠会,3
社会福祉法人天栄村社会福祉協議会,3
社会福祉法人天塩町社会福祉協議会,3
社会福祉法人天城町社会福祉協議会,3
社会福祉法人天水会,3
社会福祉法人天聖会,3
社会福祉法人天川村社会福祉協議会,3
社会福祉法人天年会,3
社会福祉法人天馬福祉会,3
社会福祉法人天龍会,3
社会福祉法人田熊会,3
社会福祉法人田上町社会福祉協議会,3
社会福祉法人田尻福祉会,3
社会福祉法人田村市社会福祉協議会,3
社会福祉法人田能老人福祉会,3
社会福祉法人杜の里福祉会,3
社会福祉法人登守会,3
社会福祉法人土佐平成福祉会,3
社会福祉法人土淵朗親会,3
社会福祉法人島田福祉の杜,3
社会福祉法人島牧村社会福祉協議会,3
社会福祉法人東海,3
社会福祉法人東海市社会福祉協議会,3
社会福祉法人東松島福祉会,3
社会福祉法人東川町社会福祉協議会,3
社会福祉法人東泉会,3
社会福祉法人東藻琴福祉会,3
社会福祉法人東筑紫会,3
社会福祉法人東通村社会福祉協議会,3
社会福祉法人東徳会,3
社会福祉法人東頸福祉会,3
社会福祉法人東京愛育苑,3
社会福祉法人東京都福祉事業協会,3
社会福祉法人当麻園,3
社会福祉法人等生会,3
社会福祉法人藤枝市社会福祉協議会,3
社会福祉法人藤心会,3
社会福祉法人藤島会,3
社会福祉法人藤嶺会,3
社会福祉法人藤和会,3
社会福祉法人陶都会,3
社会福祉法人同潤会,3
社会福祉法人同胞互助会,3
社会福祉法人洞爺湖町社会福祉協議会,3
社会福祉法人道徳福祉会,3
社会福祉法人徳寿福祉会,3
社会福祉法人徳島愛光会,3
社会福祉法人徳之島福祉会,3
社会福祉法人徳風会,3
社会福祉法人読谷村社会福祉協議会,3
社会福祉法人苫小牧市社会福祉協議会,3
社会福祉法人那須烏山市社会福祉協議会,3
社会福祉法人那覇市社会福祉協議会,3
社会福祉法人内子町社会福祉協議会,3
社会福祉法人内灘町福祉会,3
社会福祉法人南アルプス市社会福祉協議会,3
社会福祉法人南山会,3
社会福祉法人南勢聖福会,3
社会福祉法人南島会,3
社会福祉法人南富良野大乗会,3
社会福祉法人南幌福祉会,3
社会福祉法人南箕輪村社会福祉協議会,3
社会福祉法人楠会,3
社会福祉法人二津屋福祉会,3
社会福祉法人二之沢愛育会,3
社会福祉法人尼崎市社会福祉協議会,3
社会福祉法人廿日市福祉会,3
社会福祉法人日本コイノニア福祉会,3
社会福祉法人日野町社会福祉協議会,3
社会福祉法人任運社,3
